model,mode,max_turns,max_sessions,max_tokens,start_iso,end_iso,window_seconds,llm_gateway_requests_total_rate_per_s,llm_gateway_estimated_gpu_cost_usd_total_increase,llm_gateway_time_to_first_token_seconds_p50,llm_gateway_time_to_first_token_seconds_p95,llm_gateway_time_per_output_token_seconds_p50,llm_gateway_time_per_output_token_seconds_p95,llm_gateway_stream_inter_chunk_delay_seconds_p95,llm_gateway_stream_inter_chunk_delay_observations_per_s,llm_gateway_prompt_tokens_total_increase,llm_gateway_completion_tokens_total_increase,llm_gateway_prompt_tokens_total_rate_per_s,llm_gateway_completion_tokens_total_rate_per_s,llm_gateway_completion_tokens_per_second_p50,llm_gateway_completion_tokens_per_second_p95,llm_gateway_cost_per_total_token_usd,llm_gateway_cost_per_completion_token_usd,llm_gateway_request_duration_seconds_p50,llm_gateway_request_duration_seconds_p95,llm_gateway_request_duration_seconds_p99,vllm_kv_cache_usage_perc_avg,vllm_kv_cache_usage_perc_max,vllm_prefix_cache_hits,vllm_prefix_cache_queries,vllm_prefix_cache_hit_rate,vllm_request_prefill_time_seconds_p50,vllm_request_prefill_time_seconds_p99,vllm_inter_token_latency_seconds_p50,vllm_inter_token_latency_seconds_p99,vllm_time_to_first_token_seconds_p50,vllm_time_to_first_token_seconds_p95,vllm_time_to_first_token_seconds_p99,vllm_generation_tokens_total_rate_per_s,vllm_num_requests_running_min,vllm_num_requests_running_max,vllm_num_requests_running_avg,vllm_num_requests_waiting_min,vllm_num_requests_waiting_max,vllm_num_requests_waiting_avg,vllm_num_requests_waiting_capacity_avg,vllm_num_requests_waiting_deferred_avg,vllm_request_queue_time_seconds_min,vllm_request_queue_time_seconds_avg,vllm_request_queue_time_seconds_max,vllm_e2e_request_latency_seconds_p50,vllm_e2e_request_latency_seconds_p95,vllm_e2e_request_latency_seconds_p99,vllm_request_max_num_generation_tokens_p50,vllm_request_max_num_generation_tokens_p95,vllm_request_params_max_tokens_p50,vllm_request_params_max_tokens_p95,vllm_request_params_n_p50,vllm_request_params_n_p95,vllm_kv_block_idle_before_evict_seconds_p50,vllm_kv_block_idle_before_evict_seconds_p95,vllm_kv_block_lifetime_seconds_p50,vllm_kv_block_lifetime_seconds_p95,vllm_kv_block_reuse_gap_seconds_p50,vllm_kv_block_reuse_gap_seconds_p95,vllm_spec_decode_accepted_tokens_total_increase,vllm_spec_decode_draft_tokens_total_increase,vllm_spec_decode_accepted_tokens_rate_per_s,vllm_spec_decode_draft_tokens_rate_per_s,vllm_spec_decode_accepted_over_draft_rate,vllm_spec_decode_draft_acceptance_rate,count,min,p25,p50,p75,p95,p99,max,mean
q35_4b,mtp-2,16,16,1024,2026-05-18T22:54:50.499427+00:00,2026-05-18T22:59:51.149172+00:00,300,0.9369272112662879,1.443957081354886,0.0011035324833362798,0.00788469013346501,0.00014100517526393708,0.00030788035337081434,0.09134346171528554,265.15102704283345,261636.1315706366,159323.68131447822,872.1204385687886,531.0789377149274,35.394739372144606,49.65602244699491,3.430154226500856e-06,9.063041158989775e-06,0.04618490188376068,0.183912276453549,0.1967824552907098,0.31567460317460316,0.40476190476190477,0.0,0.0,,0.1987802428301501,2.080972083986663,0.038594821113574825,0.19666328125000007,0.2483598606519476,0.49699384320338225,3.3156832306092263,544.5170028879119,0.0,16.0,13.3,0.0,0.0,0.0,0.0,0.0,0.003054359103001057,0.15271795515005285,2.031762094666761,13.872455761908009,28.86111988041265,30.635241893335227,555.3807038962813,1804.9008727778155,1500.0,1950.0,0.5,0.95,,,,,,,82629.71917426074,161423.39313848995,275.4323972475358,538.0779771282998,0.5118819371079025,,278,8.0,196.0,545.0,1024.0,1024.0,1024.0,1024.0,567.1690647482014
q35_4b,mtp-2,16,32,1024,2026-05-18T23:00:58.274153+00:00,2026-05-18T23:05:14.785206+00:00,256,1.1366719573550552,2.0892158513331163,0.0016435072022353803,0.01031921401887788,0.00028375782192656976,0.0003806039185045407,0.18773410328287315,327.79352165189266,271019.8932438908,167684.5614758026,1058.6714579839484,655.0178182648539,34.7420043733973,49.527324480737484,4.762239883495151e-06,1.2459202164741902e-05,0.08146613252530108,0.2190841132525301,0.23131682265050604,0.48856209150326796,0.7559523809523809,0.0,0.0,,0.2634375,0.9597777777777775,0.06290015599301423,0.26383919270833356,0.3618827160493827,2.804687499999996,4.5609375,623.0172122848464,0.0,32.0,20.58823529411765,0.0,0.0,0.0,0.0,0.0,0.003254826254826255,0.16274131274131273,4.219444444444445,18.24074074074074,39.73376623376623,47.65833333333333,571.969696969697,1832.738095238095,1500.0,1950.0,0.5,0.95,,,,,,,80398.99501256234,158150.5564513777,314.05857426782165,617.7756111381941,0.508369978687242,,271,6.0,187.5,554.0,1024.0,1024.0,1024.0,1024.0,580.2140221402213
q35_4b,mtp-2,16,64,1024,2026-05-18T23:05:55.755045+00:00,2026-05-18T23:09:57.600863+00:00,241,1.1988606758719083,2.6498134717074873,0.0033292202490186797,0.12981097946196934,0.0003020082704638583,0.00040735445845216714,0.21136804319778324,347.1475270980533,269069.6979404628,168016.34256584386,1116.4717756865675,697.1632471611779,27.466875326425672,49.64218674315671,6.062452757901e-06,1.577116506192874e-05,0.11649092943782562,0.24103851652841599,0.24896265560165975,0.613343253968254,0.9900793650793651,0.0,0.0,,0.3292035398230088,0.9531666666666665,0.06847487596326401,0.28186187322611156,0.5549999999999998,16.73749999999999,19.547499999999992,723.531346388032,1.0,45.0,26.0625,0.0,45.0,4.9375,4.9375,0.0,0.005203703703703703,0.26018518518518513,19.121875,23.644067796610166,55.527777777777764,91.89999999999992,593.75,1828.6585365853657,1500.0,1950.0,0.5,0.95,,,,,,,88417.29406849715,171828.2593043617,366.8767388734322,712.9803290637416,0.5145678273553502,,270,6.0,193.5,571.5,1024.0,1024.0,1024.0,1024.0,574.8851851851852
q35_4b,mtp-2,16,64,2048,2026-05-24T00:05:11.176225+00:00,2026-05-24T00:10:46.868307+00:00,335,0.8476163567734706,3.2931088997943303,0.004813512963475252,0.09371002132196168,0.00021820351773980316,0.0002938100672718405,0.20582345648492795,306.2300404921719,264626.89219081844,207837.53467131848,789.9310214651297,620.4105512576671,24.687500000000004,49.71874999999999,6.970067400979683e-06,1.5844630302231824e-05,0.103125,0.1791044776119403,0.1791044776119403,0.5670995670995671,1.0,0.0,0.0,,0.32450980392156864,0.946,0.06757282113029667,0.2744733210671571,0.4810606060606061,13.566666666666652,18.71333333333333,620.2273658011611,0.0,44.0,23.454545454545453,0.0,19.0,3.090909090909091,3.090909090909091,0.0,0.0055078125,0.275390625,18.874999999999996,28.81578947368421,103.60465116279069,116.72093023255813,738.6363636363636,2650.0,3500.0,4850.0,0.5,0.95,,,,,,,106085.79709776855,203440.2966358623,316.6740211873688,607.2844675697382,0.5214591152885089,,271,9.0,198.5,579.0,1110.5,2023.5,2048.0,2048.0,728.8892988929889
q35_4b,mtp-2,2,32,1024,2026-05-24T02:26:11.804001+00:00,2026-05-24T02:28:17.340213+00:00,125,1.076159728769654,0.9474126193741113,0.003409090909090909,0.08523076923076918,0.0005736897021847222,0.0007773689702184723,0.09949342559334652,328.34067648,73575.64709333333,81847.46601333334,588.6051767466666,654.7797281066667,35.0,48.79032258064516,6.095699670639742e-06,1.1575344546644526e-05,0.18521739130434778,0.45052173913043475,0.4741043478260869,0.3628747795414462,0.7638888888888888,0.0,0.0,,0.22799999999999998,1.9912499999999995,0.061752877804014165,0.19315469613259673,0.2692307692307692,6.403846153846152,7.280769230769231,582.0215091956035,0.0,32.0,15.88888888888889,0.0,0.0,0.0,0.0,0.0,0.003758241758241758,0.1879120879120879,4.841666666666667,21.85185185185185,40.49999999999999,48.1,770.8333333333334,1876.086956521739,1500.0,1950.0,0.5,0.95,,,,,,,36640.447722140285,72194.29860920145,293.1235817771223,577.5543888736116,0.5075255030938179,,191,0.0,0.0,114.0,933.5,1024.0,1024.0,1024.0,367.869109947644
q35_4b,ngram-2,16,16,1024,2026-05-24T01:16:55.677229+00:00,2026-05-24T01:25:53.215126+00:00,537,0.5334661603828915,2.615188359683997,0.0005026657605416747,0.0036979781247047866,0.00012802251120566538,0.00018040001648369505,0.09678213433419894,257.0336858872025,265539.2611487573,156418.53417762718,494.48651983008807,291.28218655051614,25.331522478324327,47.69291556144191,6.197748657922407e-06,1.6719171889913107e-05,0.04431510177564505,0.10499016939544159,0.1103835087394235,0.2713056306860093,0.35111876075731496,0.0,0.0,,0.16171875,0.5929999999999993,0.04887246747950947,0.21894906621392227,0.23043478260869563,0.48399999999999993,0.6466666666666663,293.9049617160616,1.0,16.0,13.257142857142858,0.0,0.0,0.0,0.0,0.0,0.003,0.15,0.29699999999999993,22.66666666666667,56.368421052631575,59.27368421052631,490.62500000000006,1823.0769230769229,1500.0,1950.0,0.5,0.95,,,,,,,19276.08636189841,67829.61848413252,35.895877768898345,126.31213870415739,0.2841839124660224,,280,8.0,178.75,493.5,1024.0,1024.0,1024.0,1024.0,545.925
q35_4b,ngram-2,16,32,1024,2026-05-24T01:25:45.613732+00:00,2026-05-24T01:33:12.195332+00:00,446,0.6489789320702343,3.723357498574945,0.0008462866621096837,0.005669504003028821,0.0001637900773780141,0.00021855111672273883,0.11049126127873936,317.0952022236804,267690.08712360205,159863.62341994423,600.2019890663723,358.4386175335072,15.399640498648614,33.266563323736214,8.70851405743027e-06,2.3290836394932028e-05,0.08061138522372154,0.13452914798206278,0.13452914798206278,0.47219419550121666,0.6540447504302926,0.0,0.0,,0.17748091603053437,0.49521739130434783,0.06051510223048327,0.27538501102130797,0.3171875,0.49296874999999996,0.6718749999999998,354.9519592070484,2.0,32.0,23.137931034482758,0.0,0.0,0.0,0.0,0.0,0.003,0.15,0.297,33.69565217391305,107.43243243243242,117.48648648648648,576.3888888888889,1835.1063829787233,1500.0,1950.0,0.5,0.95,,,,,,,19008.549189603415,68520.17321376702,42.620065447541286,153.63267536719061,0.2774153697817015,,275,6.0,180.0,498.0,1024.0,1024.0,1024.0,1024.0,556.9454545454546
q35_4b,ngram-2,16,64,1024,2026-05-24T01:33:05.618220+00:00,2026-05-24T01:39:59.741140+00:00,414,0.6843180973615757,4.4509970752077965,0.0011892038761453687,0.03314630828075364,0.00021852602129175433,0.0005584840068771372,0.22308106692054822,330.60590858416947,260949.42307692312,154386.28846153847,630.3126161278336,372.913740245262,12.18015857498915,33.96371552975329,1.0716625013343254e-05,2.8830261544351152e-05,0.10106573762238207,0.14492753623188406,0.14492753623188406,0.5686237011538217,0.9931153184165232,0.0,0.0,,0.1857142857142857,0.7063999999999996,0.065996288047513,0.28406827545615027,0.32894736842105265,0.5624999999999998,0.7124999999999999,374.2021986568591,3.0,53.0,28.14814814814815,0.0,46.0,2.7777777777777777,2.7777777777777777,0.0,0.00325,0.16249999999999998,11.099999999999957,39.58333333333333,109.6,117.92,709.3023255813953,1852.830188679245,1500.0,1950.0,0.5,0.95,,,,,,,18196.418147820037,66314.35716901635,43.95270084014502,160.1796066884453,0.27439635886754604,,273,6.0,176.0,474.0,1024.0,1024.0,1024.0,1024.0,539.6190476190476
q35_4b,ngram-2,16,64,2048,2026-05-24T01:39:56.076791+00:00,2026-05-24T01:49:02.709001+00:00,546,0.5083384841115342,4.217046139757197,0.0008967909289502888,0.023143523143523137,0.00013987984043910476,0.0004041545613746254,0.2021861173022289,297.10912039731653,264039.9854430343,185491.46619260253,483.5897169286343,339.7279600597116,15.306122448979592,43.71428571428571,9.380981295999018e-06,2.273444825423119e-05,0.07197802197802199,0.10989010989010989,0.10989010989010989,0.44739672977624784,0.9965576592082617,0.0,0.0,,0.18442622950819673,0.48928571428571427,0.04888121849660312,0.22349999999999973,0.3263888888888889,0.48263888888888884,0.4965277777777778,280.4597656881851,2.0,50.0,21.3125,0.0,5.0,0.3125,0.3125,0.0,0.003,0.15,0.297,45.3125,110.83333333333334,150.0000000000004,824.074074074074,2187.5000000000023,3500.0,4850.0,0.5,0.95,,,,,,,20317.23755459188,74740.81277392223,37.21105779229282,136.88793548337404,0.27183591936641016,,253,6.0,186.0,524.0,1014.0,1804.0,2048.0,2048.0,662.0197628458498
q35_4b,ngram-2,2,32,1024,2026-05-24T01:48:55.812851+00:00,2026-05-24T01:51:58.504380+00:00,182,0.628021978021978,1.563030263560582,0.001910929206847574,0.022150307319798834,0.0004095169536346007,0.0005354571898689545,0.09925050796082874,332.4225274725275,64297.049999999996,68335.65000000002,353.28049450549446,375.47060439560454,15.505780346820808,33.671428571428535,1.178465237879182e-05,2.2872838168080373e-05,0.2095488402874924,0.32967032967032966,0.32967032967032966,0.47016637980493403,0.6402753872633391,0.0,0.0,,0.18028846153846156,0.765909090909091,0.059593084244054094,0.1615032051282058,0.2153846153846154,3.983333333333332,4.796666666666667,414.44138716832936,1.0,32.0,24.083333333333332,0.0,0.0,0.0,0.0,0.0,0.0036057692307692314,0.18028846153846156,4.715909090909091,37.916666666666664,107.9032258064516,117.58064516129032,646.5517241379312,1893.75,1553.0973451327434,3437.4999999999986,0.5,0.95,,,,,,,9008.557679487025,30937.065903829138,49.49756966751112,169.9838785924678,0.2911897885691875,,114,27.0,219.75,722.0,1024.0,1024.0,1024.0,1024.0,611.7982456140351
q35_4b,prefix-cache,16,16,1024,2026-05-18T22:28:11.028891+00:00,2026-05-18T22:34:03.380014+00:00,352,0.8247994148040284,1.7189043792791263,0.0006639387544605739,0.006195479250145821,9.912512627845061e-05,0.00013775342171875414,0.049403425659613046,491.72229182609897,269152.5570444174,172505.58793476477,764.6379461489131,490.07269299649084,34.944687972175366,48.49446879721753,3.891934064433812e-06,9.964340285192109e-06,0.05197220428294807,0.1586063113373857,0.1680848986311135,0.1196630658436214,0.15586419753086422,0.0,0.0,,0.15521739130434783,0.4404999999999999,0.035210511033681766,0.08659678379988091,0.1828729281767956,0.41293103448275836,0.4894827586206894,481.024743104256,0.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.003,0.15,0.297,15.178571428571429,28.706521739130434,29.741304347826087,593.2203389830509,1832.394366197183,1500.0,1950.0,0.5,0.95,,,,,,,,,,,,,277,4.0,219.0,586.0,1024.0,1024.0,1024.0,1024.0,590.8736462093863
